ex-yu rock	5.056547148363393e-05
American Juniors	1.261768983279244e-05
indiepop	3.6319315180770815e-05
afro-funk	1.1582824922588524e-05
bard-rock	2.0376948765337378e-05
neil patrick harris	1.3312998451609869e-05
112	1.7738859170135653e-05
amazing	9.370381550822023e-05
moderen country	3.564950070527038e-05
gink	1.3883542178549614e-05
slimepunk	1.2282790023658211e-05
speed	2.295757012692969e-05
Soundtrack	0.004789563911149951
venezuelan	2.5310608774049664e-05
mallsoft	1.8593779338695683e-05
hip pop	1.1862213441422522e-05
balkan brass	1.4326082794503034e-05
NeoTokyo	1.3271532535569455e-05
fakebit	1.1660278939701497e-05
ZoNa GanJaH	1.6899181003747095e-05
italian rock	5.2593350265347186e-05
not fucking nirvana	1.2555155472308223e-05
son	1.5459295564078138e-05
porn	1.3919571935393897e-05
experimental electronic	1.602009816244048e-05
liberal	1.1535794981294999e-05
German hip hop	2.1206319012570693e-05
Oi-Streetpunk	1.180826584759052e-05
musette	1.1976213831032654e-05
polka	1.2080656532168072e-05
glamour	1.683987069543911e-05
early music	7.355668918022143e-05
Battlestar Galactica	3.8712003986443755e-05
Tanya Chua	1.5180036184331427e-05
British rock sound	1.2079383854131432e-05
the pagan front	1.3038748546571481e-05
kozak rock	1.2469725608239032e-05
gangstacore	4.967823260916969e-05
softcore punk	1.1648917006923403e-05
b2st	0.00014669170078280812
expiremental	1.3249631714329443e-05
Running Wild	1.2174437578223353e-05
Wroclaw	1.3716946868711022e-05
Bosnian	5.8825047549093786e-05
Black n Roll	0.00013065653508758634
jauria	1.1600634905295062e-05
mestizo	3.526282428609209e-05
sistar	0.00013873638435889327
Alice in Chains	1.1591155086690082e-05
nihilist suicide pop	5.4178447971288396e-05
genivaldofm100	1.159224077045549e-05
punk rock	0.004743190066218749
wack	1.1984649447495568e-05
czech punk	1.60579454422986e-05
ukulele	4.146344680438222e-05
barbadian	1.652126492619461e-05
Latinoamericana	1.276989909820203e-05
gospel music	1.1624725235025372e-05
rap cubano	1.2325866396363777e-05
roqstyles	1.1956569537592184e-05
slaughter gang	2.0996977170754645e-05
reggae-more	2.7965421594662187e-05
french house	5.1671188272603535e-05
midwest hardcore	1.1619970559928123e-05
Karlsruhe	1.1504595641343574e-05
