1	5
2	1
3	3
4	3
5	3
6	8
7	6
8	16
9	11
10	27
11	20
12	32
13	33
14	44
15	45
16	66
12305	1
18	74
19	79
20	91
21	76
22	88
23	110
24	125
25	96
26	120
27	88
28	90
29	98
30	103
31	113
32	81
33	101
4130	1
35	92
36	85
37	83
38	63
39	83
4136	1
4137	1
42	86
43	64
44	74
45	67
46	85
47	87
48	72
49	82
50	55
4147	1
52	65
82	42
54	63
55	69
56	58
57	72
58	63
59	67
60	64
61	66
62	49
4159	2
64	70
65	56
4162	1
67	62
68	46
69	68
4166	1
71	55
72	56
73	48
74	56
4791	1
76	52
77	51
78	62
4175	1
164	25
81	45
8274	1
4179	1
84	44
85	47
86	44
87	40
88	44
89	54
90	46
91	53
92	53
93	30
94	50
95	43
96	34
97	48
98	37
99	29
4196	2
101	32
102	45
4199	1
104	47
105	42
106	43
107	32
108	37
109	41
110	35
111	35
112	35
113	42
114	27
115	28
4212	1
117	37
118	24
119	35
120	33
121	38
122	33
123	33
124	36
125	25
126	26
127	34
128	34
8321	1
130	30
131	29
132	35
4229	1
134	32
135	29
136	24
137	30
138	31
139	38
140	38
4237	1
142	31
143	23
144	23
145	28
146	23
147	25
148	29
4245	1
8342	1
151	21
152	34
153	18
154	29
8347	1
156	26
157	24
158	23
159	18
160	21
161	18
162	26
163	27
4260	1
165	22
166	14
167	26
168	15
169	20
170	29
4267	1
172	27
4269	1
174	18
175	20
176	24
177	21
178	22
179	15
180	23
181	18
182	20
183	15
184	27
185	20
186	18
187	12
188	20
189	23
190	15
1397	1
279	13
193	17
4290	1
195	13
4292	1
197	18
198	9
199	20
200	25
201	18
202	14
203	8
204	24
12493	1
206	14
207	22
208	18
209	17
210	15
211	15
212	24
213	14
214	20
215	19
216	17
217	16
218	13
219	15
220	21
221	21
222	10
223	13
224	16
4816	1
226	14
227	13
228	14
229	17
230	17
721	4
4328	1
233	16
234	9
235	14
4332	1
237	21
238	10
239	20
4336	1
241	17
242	16
4819	1
244	7
245	18
4342	1
247	11
248	14
249	19
250	9
251	8
281	10
253	14
254	14
255	10
256	11
257	12
258	11
259	11
260	9
261	14
262	11
263	9
264	13
265	12
266	14
267	19
268	12
269	14
270	5
271	14
272	10
273	10
274	9
275	8
8468	1
277	12
278	7
4939	1
280	13
4377	1
4378	1
283	12
284	16
285	4
286	12
1413	1
288	4
289	8
290	11
291	10
292	6
293	18
294	11
295	7
296	6
297	12
298	7
299	5
300	8
4397	1
4398	1
303	8
304	9
305	10
306	3
307	9
308	13
309	11
310	8
311	13
312	7
313	10
314	9
735	2
316	5
317	6
9285	1
9967	1
320	9
321	7
322	9
323	12
324	6
325	3
326	6
327	6
328	9
329	7
330	7
331	11
332	8
333	9
334	13
335	6
336	4
337	5
338	8
739	2
340	14
341	1
342	8
343	9
344	9
345	10
4442	1
8539	1
348	9
349	6
350	7
351	8
352	3
12641	1
354	6
8547	1
356	8
357	9
358	7
359	7
360	9
361	4
362	4
363	5
4460	1
365	5
366	7
367	6
368	5
4840	1
370	7
12659	1
372	10
373	3
374	7
375	4
376	7
377	7
378	6
379	8
380	9
381	6
382	6
8575	1
384	7
385	10
386	3
387	8
388	5
389	5
390	8
391	7
392	3
393	2
394	7
395	6
396	4
397	9
398	6
399	8
400	5
401	4
402	5
403	6
404	1
405	3
406	8
407	7
408	6
409	7
410	8
411	4
412	4
413	8
414	2
415	4
416	7
4513	1
418	4
419	5
420	6
421	5
422	4
423	9
424	2
425	8
426	4
427	8
428	3
429	6
430	5
431	3
432	3
433	5
434	6
435	3
436	8
437	11
438	7
439	5
440	4
441	7
442	6
443	9
444	6
445	5
446	5
447	8
448	3
449	8
450	6
451	6
452	6
453	9
454	10
455	1
456	5
457	4
458	4
459	4
