Nome;Peso;;;;;;;;;;;
ysabols japanese animation soundtracks;44;7,67E-06;1,00E+00;;;;;;;;;
stuttgart;44;7,78E-06;1,00E+00;;;;;;;;;
Porno Rap;44;7,90E-06;1,00E+00;;;;;;;;;
german march;44;8,01E-06;1,00E+00;;;;;;;;;
rob zombie;44;8,13E-06;1,00E+00;;;;;;;;;
euro-house;44;8,25E-06;1,00E+00;;;;;;;;;
Loop Ash;44;8,36E-06;1,00E+00;;;;;;;;;
sachen die ich gerne hoeren mag;44;8,48E-06;1,00E+00;;;;;;;;;
pura ranchera;44;8,59E-06;1,00E+00;;;;;;;;;
hunks;44;8,71E-06;1,00E+00;;;;;;;;;
traditional bluegrass;44;8,82E-06;1,00E+00;;;;;;;;;
Persona 4;44;8,94E-06;1,00E+00;;;;;;;;;
classic horror;46;9,06E-06;1,00E+00;;;;;;;;;
Preaching;48;9,19E-06;1,00E+00;;;;;;;;;
do sprawdzenia;48;9,31E-06;1,00E+00;;;;;;;;;
HOOLIE-HOP;48;9,44E-06;1,00E+00;;;;;;;;;
lofz;48;9,56E-06;1,00E+00;;;;;;;;;
musica crista;48;9,69E-06;1,00E+00;;;;;;;;;
lowlands 2007;48;9,82E-06;1,00E+00;;;;;;;;;
najbolja grupa;48;9,94E-06;1,00E+00;;;;;;;;;
santechno;48;1,01E-05;1,00E+00;;;;;;;;;
Karlsruhe;48;1,02E-05;1,00E+00;;;;;;;;;
experimental country;48;1,03E-05;1,00E+00;;;;;;;;;
njhc;48;1,04E-05;1,00E+00;;;;;;;;;
Metall catala;48;1,06E-05;1,00E+00;;;;;;;;;
horrorkore;48;1,07E-05;1,00E+00;;;;;;;;;
megurine luka;48;1,08E-05;1,00E+00;;;;;;;;;
bremen;48;1,10E-05;1,00E+00;;;;;;;;;
James Maslow Tags;48;1,11E-05;1,00E+00;;;;;;;;;
Gaither Vocal Band;48;1,12E-05;1,00E+00;;;;;;;;;
552;48;1,13E-05;1,00E+00;;;;;;;;;
mixes;48;1,15E-05;1,00E+00;;;;;;;;;
nhojj;48;1,16E-05;1,00E+00;;;;;;;;;
probably gay;48;1,17E-05;1,00E+00;;;;;;;;;
british reggae;48;1,18E-05;1,00E+00;;;;;;;;;
medieval music;48;1,20E-05;1,00E+00;;;;;;;;;
trashrock;48;1,21E-05;1,00E+00;;;;;;;;;
Female Artist;48;1,22E-05;1,00E+00;;;;;;;;;
PTU thrash metal;48;1,23E-05;1,00E+00;;;;;;;;;
gainesville;48;1,25E-05;1,00E+00;;;;;;;;;
christian gothic;48;1,26E-05;1,00E+00;;;;;;;;;
korean metal;48;1,27E-05;1,00E+00;;;;;;;;;
Dancemania;48;1,28E-05;1,00E+00;;;;;;;;;
noel;48;1,30E-05;1,00E+00;;;;;;;;;
LoZ;48;1,31E-05;1,00E+00;;;;;;;;;
lviv;52;1,32E-05;1,00E+00;;;;;;;;;
radiated sounds;52;1,34E-05;1,00E+00;;;;;;;;;
Brazilian Christian Music;52;1,35E-05;1,00E+00;;;;;;;;;
DA family;52;1,36E-05;1,00E+00;;;;;;;;;
31 minutos;52;1,38E-05;1,00E+00;;;;;;;;;
polski crunk;52;1,39E-05;1,00E+00;;;;;;;;;
music to fall asleep to;52;1,40E-05;1,00E+00;;;;;;;;;
Muito linda;52;1,42E-05;1,00E+00;;;;;;;;;
tapping;52;1,43E-05;1,00E+00;;;;;;;;;
the sirens that lure me;52;1,45E-05;1,00E+00;;;;;;;;;
neo-classic;52;1,46E-05;1,00E+00;;;;;;;;;
sex pistols;52;1,47E-05;1,00E+00;;;;;;;;;
noise ambient;52;1,49E-05;1,00E+00;;;;;;;;;
